Round	Pick	Team	Player	Position	NFL Team	Conference	Year
6	62	Hail to the Chef	Elijah Mitchell	RB	SFO	North	2022
6	63	The Motor City Kitties	Antonio Gibson	RB	WAS	North	2022
6	64	Maryland Madness	Jerry Jeudy	WR	DEN	North	2022
6	65	Tua Girls One Kupp	Jalen Hurts	QB	PHI	North	2022
6	66	Water Rats	Dalton Schultz	TE	DAL	North	2022
6	67	Cosmo's Crew	Tony Pollard	RB	DAL	North	2022
6	68	Rusty Hammer	Dallas Goedert	TE	PHI	North	2022
6	69	Gridiron Guru	Chris Godwin	WR	TBB	North	2022
6	70	Schmidts & Giggles	JuJu Smith-Schuster	WR	KCC	North	2022
6	71	M-Dogg	Gabriel Davis	WR	BUF	North	2022
6	72	Rory's Fury	Christian Kirk	WR	JAC	North	2022
7	73	Rory's Fury	Joe Burrow	QB	CIN	North	2022
7	74	M-Dogg	Rhamondre Stevenson	RB	NEP	North	2022
7	75	Schmidts & Giggles	Kareem Hunt	RB	CLE	North	2022
7	76	Gridiron Guru	Miles Sanders	RB	PHI	North	2022
7	77	Rusty Hammer	Kyler Murray	QB	ARI	North	2022
7	78	Cosmo's Crew	T.J. Hockenson	TE	MIN	North	2022
7	79	Water Rats	Aaron Rodgers	QB	GBP	North	2022
7	80	Tua Girls One Kupp	Drake London	WR	ATL	North	2022
7	81	Maryland Madness	Russell Wilson	QB	DEN	North	2022
7	82	The Motor City Kitties	Michael Thomas	WR	NOS	North	2022
7	83	Hail to the Chef	Rashod Bateman	WR	BAL	North	2022
7	84	AFCCP	Damien Harris	RB	NEP	North	2022
8	85	AFCCP	Brandon Aiyuk	WR	SFO	North	2022
8	86	Hail to the Chef	Elijah Moore	WR	NYJ	North	2022
8	87	The Motor City Kitties	Devin Singletary	RB	BUF	North	2022
8	88	Maryland Madness	Chase Edmonds	RB	DEN	North	2022
8	89	Tua Girls One Kupp	DeAndre Hopkins	WR	ARI	North	2022
8	90	Water Rats	Tyler Higbee	TE	LAR	North	2022
8	91	Cosmo's Crew	Hunter Renfrow	WR	LVR	North	2022
8	92	Rusty Hammer	Allen Lazard	WR	GBP	North	2022
8	93	Gridiron Guru	Zach Ertz	TE	ARI	North	2022
8	94	Schmidts & Giggles	Dawson Knox	TE	BUF	North	2022
8	95	M-Dogg	Robert Woods	WR	TEN	North	2022
8	96	Rory's Fury	DeVonta Smith	WR	PHI	North	2022
9	97	Rory's Fury	Dameon Pierce	RB	HOU	North	2022
9	98	M-Dogg	Pat Freiermuth	TE	PIT	North	2022
9	99	Schmidts & Giggles	Tyler Lockett	WR	SEA	North	2022
9	100	Gridiron Guru	Cordarrelle Patterson	RB	ATL	North	2022
9	101	Rusty Hammer	Rashaad Penny	RB	SEA	North	2022
9	102	Cosmo's Crew	Trey Lance	QB	SFO	North	2022
9	103	Water Rats	A.J. Green	WR	ARI	North	2022
9	104	Tua Girls One Kupp	Mike Gesicki	TE	MIA	North	2022
9	105	Maryland Madness	Melvin Gordon	RB	KCC	North	2022
9	106	The Motor City Kitties	Cole Kmet	TE	CHI	North	2022
9	107	Hail to the Chef	James Cook	RB	BUF	North	2022
9	108	AFCCP	Treylon Burks	WR	TEN	North	2022
10	109	AFCCP	Dak Prescott	QB	DAL	North	2022
10	110	Hail to the Chef	Kenneth Walker III	RB	SEA	North	2022
10	111	The Motor City Kitties	Matthew Stafford	QB	LAR	North	2022
10	112	Maryland Madness	DeVante Parker	WR	NEP	North	2022
10	113	Tua Girls One Kupp	Brian Robinson	RB	WAS	North	2022
10	114	Water Rats	Mark Ingram	RB	NOS	North	2022
10	115	Cosmo's Crew	Nyheim Hines	RB	BUF	North	2022
10	116	Rusty Hammer	Hayden Hurst	TE	CIN	North	2022
10	117	Gridiron Guru	Chris Olave	WR	NOS	North	2022
10	118	Schmidts & Giggles	Marlon Mack	RB	DEN	North	2022
10	119	M-Dogg	Raheem Mostert	RB	MIA	North	2022
10	120	Rory's Fury	Garrett Wilson	WR	NYJ	North	2022
11	121	Rory's Fury	Russell Gage	WR	TBB	North	2022
11	122	M-Dogg	Jakobi Meyers	WR	NEP	North	2022
11	123	Schmidts & Giggles	Derek Carr	QB	LVR	North	2022
11	124	Gridiron Guru	Kadarius Toney	WR	KCC	North	2022
11	125	Rusty Hammer	David Njoku	TE	CLE	North	2022
11	126	Cosmo's Crew	Kirk Cousins	QB	MIN	North	2022
11	127	Water Rats	Los Angeles Rams	Def	LAR	North	2022
11	128	Tua Girls One Kupp	Alec Pierce	WR	IND	North	2022
11	129	Maryland Madness	Marquez Valdes-Scantling	WR	KCC	North	2022
11	130	The Motor City Kitties	Keaontay Ingram	RB	ARI	North	2022
11	131	Hail to the Chef	Chase Claypool	WR	CHI	North	2022
11	132	AFCCP	Julio Jones	WR	TBB	North	2022
12	133	AFCCP	James Robinson	RB	NYJ	North	2022
12	134	Hail to the Chef	Buffalo Bills	Def	BUF	North	2022
12	135	The Motor City Kitties	George Pickens	WR	PIT	North	2022
12	136	Maryland Madness	Kenneth Gainwell	RB	PHI	North	2022
12	137	Tua Girls One Kupp	Tennessee Titans	Def	TEN	North	2022
12	138	Water Rats	Justin Tucker	PK	BAL	North	2022
12	139	Cosmo's Crew	Jahan Dotson	WR	WAS	North	2022
12	140	Rusty Hammer	Christian Watson	WR	GBP	North	2022
12	141	Gridiron Guru	Darrell Henderson	RB	FA	North	2022
12	142	Schmidts & Giggles	Bryan Edwards	WR	FA	North	2022
12	143	M-Dogg	Hunter Henry	TE	NEP	North	2022
12	144	Rory's Fury	Michael Carter	RB	NYJ	North	2022
13	145	Rory's Fury	J.D. McKissic	RB	WAS	North	2022
13	146	M-Dogg	Skyy Moore	WR	KCC	North	2022
13	147	Schmidts & Giggles	Jerick McKinnon	RB	KCC	North	2022
13	148	Gridiron Guru	Trevor Lawrence	QB	JAC	North	2022
13	149	Rusty Hammer	Tampa Bay Buccaneers	Def	TBB	North	2022
13	150	Cosmo's Crew	Rondale Moore	WR	ARI	North	2022
13	151	Water Rats	Michael Gallup	WR	DAL	North	2022
13	152	Tua Girls One Kupp	Tua Tagovailoa	QB	MIA	North	2022
13	153	Maryland Madness	San Francisco 49ers	Def	SFO	North	2022
13	154	The Motor City Kitties	Jerome Ford	RB	CLE	North	2022
13	155	Hail to the Chef	Justin Fields	QB	CHI	North	2022
13	156	AFCCP	Albert Okwuegbunam	TE	DEN	North	2022
14	157	AFCCP	Tyler Boyd	WR	CIN	North	2022
14	158	Hail to the Chef	Noah Fant	TE	SEA	North	2022
14	159	The Motor City Kitties	Matt Ryan	QB	IND	North	2022
14	160	Maryland Madness	Alexander Mattison	RB	MIN	North	2022
14	161	Tua Girls One Kupp	Evan McPherson	PK	CIN	North	2022
14	162	Water Rats	Green Bay Packers	Def	GBP	North	2022
14	163	Cosmo's Crew	Rachaad White	RB	TBB	North	2022
14	164	Rusty Hammer	Tyler Allgeier	RB	ATL	North	2022
14	165	Gridiron Guru	Matt Gay	PK	LAR	North	2022
14	166	Schmidts & Giggles	Rex Burkhead	RB	HOU	North	2022
14	167	M-Dogg	Irv Smith Jr.	TE	MIN	North	2022
14	168	Rory's Fury	Jamaal Williams	RB	DET	North	2022
15	169	Rory's Fury	Jameis Winston	QB	NOS	North	2022
15	170	M-Dogg	New Orleans Saints	Def	NOS	North	2022
15	171	Schmidts & Giggles	Ryan Succop	PK	TBB	North	2022
15	172	Gridiron Guru	Baltimore Ravens	Def	BAL	North	2022
15	173	Rusty Hammer	Tyler Bass	PK	BUF	North	2022
15	174	Cosmo's Crew	Nico Collins	WR	HOU	North	2022
15	175	Water Rats	Nick Folk	PK	NEP	North	2022
15	176	Tua Girls One Kupp	Corey Davis	WR	NYJ	North	2022
15	177	Maryland Madness	Kenny Golladay	WR	NYG	North	2022
15	178	The Motor City Kitties	D.J. Chark	WR	DET	North	2022
15	179	Hail to the Chef	Harrison Butker	PK	KCC	North	2022
15	180	AFCCP	Samaje Perine	RB	CIN	North	2022
16	181	AFCCP	Indianapolis Colts	Def	IND	North	2022
16	182	Hail to the Chef	Isaiah Spiller	RB	LAC	North	2022
16	183	The Motor City Kitties	Daniel Carlson	PK	LVR	North	2022
16	184	Maryland Madness	Khalil Herbert	RB	CHI	North	2022
16	185	Tua Girls One Kupp	Zamir White	RB	LVR	North	2022
16	186	Water Rats	Myles Gaskin	RB	MIA	North	2022
16	187	Cosmo's Crew	New England Patriots	Def	NEP	North	2022
16	188	Rusty Hammer	Jalen Tolbert	WR	DAL	North	2022
16	189	Gridiron Guru	Robbie Anderson	WR	ARI	North	2022
16	190	Schmidts & Giggles	Los Angeles Chargers	Def	LAC	North	2022
16	191	M-Dogg	Brandon McManus	PK	DEN	North	2022
16	192	Rory's Fury	Robbie Gould	PK	SFO	North	2022
17	193	Rory's Fury	Philadelphia Eagles	Def	PHI	North	2022
17	194	M-Dogg	D'Onta Foreman	RB	CAR	North	2022
17	195	Schmidts & Giggles	Cameron Brate	TE	TBB	North	2022
17	196	Gridiron Guru	Logan Thomas	TE	WAS	North	2022
17	197	Rusty Hammer	Denver Broncos	Def	DEN	North	2022
17	198	Cosmo's Crew	Jameson Williams	WR	DET	North	2022
17	199	Water Rats	Sammy Watkins	WR	BAL	North	2022
17	200	Tua Girls One Kupp	Marvin Jones	WR	JAC	North	2022
17	201	Maryland Madness	Matt Prater	PK	ARI	North	2022
17	202	The Motor City Kitties	Miami Dolphins	Def	MIA	North	2022
17	203	Hail to the Chef	Dallas Cowboys	Def	DAL	North	2022
17	204	AFCCP	Cleveland Browns	Def	CLE	North	2022
1	1	Moose Men	Jonathan Taylor	RB	IND	South 	2022
1	2	Wookie of the Year	Christian McCaffrey	RB	SFO	South 	2022
1	3	Renegades	Derrick Henry	RB	TEN	South 	2022
1	4	Buck Wild Roosters	Austin Ekeler	RB	LAC	South 	2022
1	5	Playoff Donkeys	Cooper Kupp	WR	LAR	South 	2022
1	6	Raptors	Dalvin Cook	RB	MIN	South 	2022
1	7	Poner	Justin Jefferson	WR	MIN	South 	2022
1	8	Banana's Bunch	Ja'Marr Chase	WR	CIN	South 	2022
1	9	Offensive Lyonmen	Najee Harris	RB	PIT	South 	2022
1	10	Unicorns & Cremes	Stefon Diggs	WR	BUF	South 	2022
1	11	Baby Fumblers	Davante Adams	WR	LVR	South 	2022
1	12	Steers and Beers	Nick Chubb	RB	CLE	South 	2022
2	13	Steers and Beers	Tyreek Hill	WR	MIA	South 	2022
2	14	Baby Fumblers	Joe Mixon	RB	CIN	South 	2022
2	15	Unicorns & Cremes	D'Andre Swift	RB	DET	South 	2022
2	16	Offensive Lyonmen	CeeDee Lamb	WR	DAL	South 	2022
2	17	Banana's Bunch	Saquon Barkley	RB	NYG	South 	2022
2	18	Poner	Travis Kelce	TE	KCC	South 	2022
2	19	Raptors	Alvin Kamara	RB	NOS	South 	2022
2	20	Playoff Donkeys	Aaron Jones	RB	GBP	South 	2022
2	21	Buck Wild Roosters	Deebo Samuel	WR	SFO	South 	2022
2	22	Renegades	Leonard Fournette	RB	TBB	South 	2022
2	23	Wookie of the Year	A.J. Brown	WR	PHI	South 	2022
2	24	Moose Men	Mike Evans	WR	TBB	South 	2022
3	25	Moose Men	Josh Allen	QB	BUF	South 	2022
3	26	Wookie of the Year	Rashaad Penny	RB	SEA	South 	2022
3	27	Renegades	Mark Andrews	TE	BAL	South 	2022
3	28	Buck Wild Roosters	Michael Pittman	WR	IND	South 	2022
3	29	Playoff Donkeys	Keenan Allen	WR	LAC	South 	2022
3	30	Raptors	Tee Higgins	WR	CIN	South 	2022
3	31	Poner	Javonte Williams	RB	DEN	South 	2022
3	32	Banana's Bunch	Kyle Pitts	TE	ATL	South 	2022
3	33	Offensive Lyonmen	D.J. Moore	WR	CAR	South 	2022
3	34	Unicorns & Cremes	Mike Williams	WR	LAC	South 	2022
3	35	Baby Fumblers	Travis Etienne	RB	JAC	South 	2022
3	36	Steers and Beers	Ezekiel Elliott	RB	DAL	South 	2022
4	37	Steers and Beers	Diontae Johnson	WR	PIT	South 	2022
4	38	Baby Fumblers	Jaylen Waddle	WR	MIA	South 	2022
4	39	Unicorns & Cremes	James Conner	RB	ARI	South 	2022
4	40	Offensive Lyonmen	George Kittle	TE	SFO	South 	2022
4	41	Banana's Bunch	Courtland Sutton	WR	DEN	South 	2022
4	42	Poner	Breece Hall	RB	NYJ	South 	2022
4	43	Raptors	Terry McLaurin	WR	WAS	South 	2022
4	44	Playoff Donkeys	David Montgomery	RB	CHI	South 	2022
4	45	Buck Wild Roosters	Cam Akers	RB	LAR	South 	2022
4	46	Renegades	Brandin Cooks	WR	HOU	South 	2022
4	47	Wookie of the Year	Amon-Ra St. Brown	WR	DET	South 	2022
4	48	Moose Men	Elijah Mitchell	RB	SFO	South 	2022
5	49	Moose Men	Darnell Mooney	WR	CHI	South 	2022
5	50	Wookie of the Year	Josh Jacobs	RB	LVR	South 	2022
5	51	Renegades	Michael Thomas	WR	NOS	South 	2022
5	52	Buck Wild Roosters	Darren Waller	TE	LVR	South 	2022
5	53	Playoff Donkeys	Patrick Mahomes	QB	KCC	South 	2022
5	54	Raptors	Allen Robinson	WR	LAR	South 	2022
5	55	Poner	Justin Herbert	QB	LAC	South 	2022
5	56	Banana's Bunch	AJ Dillon	RB	GBP	South 	2022
5	57	Offensive Lyonmen	Clyde Edwards-Helaire	RB	KCC	South 	2022
5	58	Unicorns & Cremes	J.K. Dobbins	RB	BAL	South 	2022
5	59	Baby Fumblers	Marquise Brown	WR	ARI	South 	2022
5	60	Steers and Beers	DK Metcalf	WR	SEA	South 	2022
6	61	Steers and Beers	Adam Thielen	WR	MIN	South 	2022
6	62	Baby Fumblers	Joe Burrow	QB	CIN	South 	2022
6	63	Unicorns & Cremes	Chris Godwin	WR	TBB	South 	2022
6	64	Offensive Lyonmen	Jerry Jeudy	WR	DEN	South 	2022
6	65	Banana's Bunch	Tony Pollard	RB	DAL	South 	2022
6	66	Poner	Rashod Bateman	WR	BAL	South 	2022
6	67	Raptors	Dalton Schultz	TE	DAL	South 	2022
6	68	Playoff Donkeys	JuJu Smith-Schuster	WR	KCC	South 	2022
6	69	Buck Wild Roosters	Jalen Hurts	QB	PHI	South 	2022
6	70	Renegades	Lamar Jackson	QB	BAL	South 	2022
6	71	Wookie of the Year	Dak Prescott	QB	DAL	South 	2022
6	72	Moose Men	Gabriel Davis	WR	BUF	South 	2022
7	73	Moose Men	Chase Edmonds	RB	DEN	South 	2022
7	74	Wookie of the Year	Christian Kirk	WR	JAC	South 	2022
7	75	Renegades	Kareem Hunt	RB	CLE	South 	2022
7	76	Buck Wild Roosters	Rhamondre Stevenson	RB	NEP	South 	2022
7	77	Playoff Donkeys	Antonio Gibson	RB	WAS	South 	2022
7	78	Raptors	Devin Singletary	RB	BUF	South 	2022
7	79	Poner	Miles Sanders	RB	PHI	South 	2022
7	80	Banana's Bunch	Kyler Murray	QB	ARI	South 	2022
7	81	Offensive Lyonmen	Tom Brady	QB	TBB	South 	2022
7	82	Unicorns & Cremes	Amari Cooper	WR	CLE	South 	2022
7	83	Baby Fumblers	Elijah Moore	WR	NYJ	South 	2022
7	84	Steers and Beers	Russell Wilson	QB	DEN	South 	2022
8	85	Steers and Beers	Dallas Goedert	TE	PHI	South 	2022
8	86	Baby Fumblers	Dameon Pierce	RB	HOU	South 	2022
8	87	Unicorns & Cremes	T.J. Hockenson	TE	MIN	South 	2022
8	88	Offensive Lyonmen	Damien Harris	RB	NEP	South 	2022
8	89	Banana's Bunch	Hunter Renfrow	WR	LVR	South 	2022
8	90	Poner	Drake London	WR	ATL	South 	2022
8	91	Raptors	Allen Lazard	WR	GBP	South 	2022
8	92	Playoff Donkeys	Brandon Aiyuk	WR	SFO	South 	2022
8	93	Buck Wild Roosters	James Cook	RB	BUF	South 	2022
8	94	Renegades	Cordarrelle Patterson	RB	ATL	South 	2022
8	95	Wookie of the Year	Garrett Wilson	WR	NYJ	South 	2022
8	96	Moose Men	DeVante Parker	WR	NEP	South 	2022
9	97	Moose Men	Mike Gesicki	TE	MIA	South 	2022
9	98	Wookie of the Year	Noah Fant	TE	SEA	South 	2022
9	99	Renegades	Tyler Lockett	WR	SEA	South 	2022
9	100	Buck Wild Roosters	Zach Ertz	TE	ARI	South 	2022
9	101	Playoff Donkeys	Aaron Rodgers	QB	GBP	South 	2022
9	102	Raptors	Trey Lance	QB	SFO	South 	2022
9	103	Poner	Melvin Gordon	RB	KCC	South 	2022
9	104	Banana's Bunch	Robert Woods	WR	TEN	South 	2022
9	105	Offensive Lyonmen	DeVonta Smith	WR	PHI	South 	2022
9	106	Unicorns & Cremes	Kadarius Toney	WR	KCC	South 	2022
9	107	Baby Fumblers	Dawson Knox	TE	BUF	South 	2022
9	108	Steers and Beers	Justin Tucker	PK	BAL	South 	2022
10	109	Steers and Beers	Matthew Stafford	QB	LAR	South 	2022
10	110	Baby Fumblers	Skyy Moore	WR	KCC	South 	2022
10	111	Unicorns & Cremes	Derek Carr	QB	LVR	South 	2022
10	112	Offensive Lyonmen	Jakobi Meyers	WR	NEP	South 	2022
10	113	Banana's Bunch	Nyheim Hines	RB	BUF	South 	2022
10	114	Poner	DeAndre Hopkins	WR	ARI	South 	2022
10	115	Raptors	Buffalo Bills	Def	BUF	South 	2022
10	116	Playoff Donkeys	Chase Claypool	WR	CHI	South 	2022
10	117	Buck Wild Roosters	D.J. Chark	WR	DET	South 	2022
10	118	Renegades	Michael Gallup	WR	DAL	South 	2022
10	119	Wookie of the Year	Marvin Jones	WR	JAC	South 	2022
10	120	Moose Men	James Robinson	RB	NYJ	South 	2022
11	121	Moose Men	Corey Davis	WR	NYJ	South 	2022
11	122	Wookie of the Year	Michael Carter	RB	NYJ	South 	2022
11	123	Renegades	Treylon Burks	WR	TEN	South 	2022
11	124	Buck Wild Roosters	Marquez Valdes-Scantling	WR	KCC	South 	2022
11	125	Playoff Donkeys	Kenneth Walker III	RB	SEA	South 	2022
11	126	Raptors	Chris Olave	WR	NOS	South 	2022
11	127	Poner	Alexander Mattison	RB	MIN	South 	2022
11	128	Banana's Bunch	George Pickens	WR	PIT	South 	2022
11	129	Offensive Lyonmen	Jarvis Landry	WR	NOS	South 	2022
11	130	Unicorns & Cremes	Kenneth Gainwell	RB	PHI	South 	2022
11	131	Baby Fumblers	Rachaad White	RB	TBB	South 	2022
11	132	Steers and Beers	Jerome Ford	RB	CLE	South 	2022
12	133	Steers and Beers	Ty Chandler	RB	MIN	South 	2022
12	134	Baby Fumblers	Jahan Dotson	WR	WAS	South 	2022
12	135	Unicorns & Cremes	Julio Jones	WR	TBB	South 	2022
12	136	Offensive Lyonmen	Jamaal Williams	RB	DET	South 	2022
12	137	Banana's Bunch	Russell Gage	WR	TBB	South 	2022
12	138	Poner	J.D. McKissic	RB	WAS	South 	2022
12	139	Raptors	Khalil Herbert	RB	CHI	South 	2022
12	140	Playoff Donkeys	Pat Freiermuth	TE	PIT	South 	2022
12	141	Buck Wild Roosters	Kirk Cousins	QB	MIN	South 	2022
12	142	Renegades	Cole Kmet	TE	CHI	South 	2022
12	143	Wookie of the Year	Marlon Mack	RB	DEN	South 	2022
12	144	Moose Men	Tyler Boyd	WR	CIN	South 	2022
13	145	Moose Men	Cameron Brate	TE	TBB	South 	2022
13	146	Wookie of the Year	Kendrick Bourne	WR	NEP	South 	2022
13	147	Renegades	Trevor Lawrence	QB	JAC	South 	2022
13	148	Buck Wild Roosters	Raheem Mostert	RB	MIA	South 	2022
13	149	Playoff Donkeys	Los Angeles Rams	Def	LAR	South 	2022
13	150	Raptors	Hunter Henry	TE	NEP	South 	2022
13	151	Poner	Darrell Henderson	RB	FA	South 	2022
13	152	Banana's Bunch	Rondale Moore	WR	ARI	South 	2022
13	153	Offensive Lyonmen	Justin Fields	QB	CHI	South 	2022
13	154	Unicorns & Cremes	K.J. Osborn	WR	MIN	South 	2022
13	155	Baby Fumblers	Tua Tagovailoa	QB	MIA	South 	2022
13	156	Steers and Beers	Evan McPherson	PK	CIN	South 	2022
14	157	Steers and Beers	San Francisco 49ers	Def	SFO	South 	2022
14	158	Baby Fumblers	Tampa Bay Buccaneers	Def	TBB	South 	2022
14	159	Unicorns & Cremes	Nico Collins	WR	HOU	South 	2022
14	160	Offensive Lyonmen	Dallas Cowboys	Def	DAL	South 	2022
14	161	Banana's Bunch	Josh Palmer	WR	LAC	South 	2022
14	162	Poner	Tyler Allgeier	RB	ATL	South 	2022
14	163	Raptors	Matt Ryan	QB	IND	South 	2022
14	164	Playoff Donkeys	Mark Ingram	RB	NOS	South 	2022
14	165	Buck Wild Roosters	Chuba Hubbard	RB	CAR	South 	2022
14	166	Renegades	Denver Broncos	Def	DEN	South 	2022
14	167	Wookie of the Year	Isiah Pacheco	RB	KCC	South 	2022
14	168	Moose Men	Darrel Williams	RB	ARI	South 	2022
15	169	Moose Men	New England Patriots	Def	NEP	South 	2022
15	170	Wookie of the Year	D'Onta Foreman	RB	CAR	South 	2022
15	171	Renegades	Tyler Bass	PK	BUF	South 	2022
15	172	Buck Wild Roosters	Brian Robinson	RB	WAS	South 	2022
15	173	Playoff Donkeys	Matt Gay	PK	LAR	South 	2022
15	174	Raptors	Albert Okwuegbunam	TE	DEN	South 	2022
15	175	Poner	Indianapolis Colts	Def	IND	South 	2022
15	176	Banana's Bunch	New Orleans Saints	Def	NOS	South 	2022
15	177	Offensive Lyonmen	Jaylen Warren	RB	PIT	South 	2022
15	178	Unicorns & Cremes	Isaiah Spiller	RB	LAC	South 	2022
15	179	Baby Fumblers	Daniel Carlson	PK	LVR	South 	2022
15	180	Steers and Beers	Khalil Shakir	WR	BUF	South 	2022
16	181	Steers and Beers	Trey McBride	TE	ARI	South 	2022
16	182	Baby Fumblers	Zamir White	RB	LVR	South 	2022
16	183	Unicorns & Cremes	Baltimore Ravens	Def	BAL	South 	2022
16	184	Offensive Lyonmen	Jalen Tolbert	WR	DAL	South 	2022
16	185	Banana's Bunch	Isaiah McKenzie	WR	BUF	South 	2022
16	186	Poner	Harrison Butker	PK	KCC	South 	2022
16	187	Raptors	Ryan Succop	PK	TBB	South 	2022
16	188	Playoff Donkeys	Mecole Hardman	WR	KCC	South 	2022
16	189	Buck Wild Roosters	Washington Commanders	Def	WAS	South 	2022
16	190	Renegades	Dontrell Hilliard	RB	TEN	South 	2022
16	191	Wookie of the Year	Brandon McManus	PK	DEN	South 	2022
16	192	Moose Men	KJ Hamler	WR	DEN	South 	2022
17	193	Moose Men	Nick Folk	PK	NEP	South 	2022
17	194	Wookie of the Year	Kansas City Chiefs	Def	KCC	South 	2022
17	195	Renegades	Robbie Anderson	WR	ARI	South 	2022
17	196	Buck Wild Roosters	Younghoe Koo	PK	ATL	South 	2022
17	197	Playoff Donkeys	Pittsburgh Steelers	Def	PIT	South 	2022
17	198	Raptors	Green Bay Packers	Def	GBP	South 	2022
17	199	Poner	Jameson Williams	WR	DET	South 	2022
17	200	Banana's Bunch	Rex Burkhead	RB	HOU	South 	2022
17	201	Offensive Lyonmen	Dustin Hopkins	PK	LAC	South 	2022
17	202	Unicorns & Cremes	Ameer Abdullah	RB	LVR	South 	2022
17	203	Baby Fumblers	Wan'Dale Robinson	WR	NYG	South 	2022
17	204	Steers and Beers	Jelani Woods	TE	IND	South 	2022
1	1	Poner	Christian McCaffrey	RB	CAR	North	2021
1	2	AFCCP	Dalvin Cook	RB	MIN	North	2021
1	3	Schmidts & Giggles	Derrick Henry	RB	TEN	North	2021
1	4	Playoff Donkeys	Alvin Kamara	RB	NOS	North	2021
1	5	Buck Wild Roosters	Davante Adams	WR	GBP	North	2021
1	6	Rusty Hammer	Ezekiel Elliott	RB	DAL	North	2021
1	7	Tua Girls One Kupp	Aaron Jones	RB	GBP	North	2021
1	8	Gridiron Guru	Travis Kelce	TE	KCC	North	2021
1	9	Raptors	Austin Ekeler	RB	LAC	North	2021
1	10	Moose Men	Saquon Barkley	RB	NYG	North	2021
1	11	Rory's Fury	Tyreek Hill	WR	KCC	North	2021
1	12	Banana's Bunch	Stefon Diggs	WR	BUF	North	2021
2	13	Banana's Bunch	Calvin Ridley	WR	ATL	North	2021
2	14	Rory's Fury	Nick Chubb	RB	CLE	North	2021
2	15	Moose Men	DK Metcalf	WR	SEA	North	2021
2	16	Raptors	DeAndre Hopkins	WR	ARI	North	2021
2	17	Gridiron Guru	Antonio Gibson	RB	WAS	North	2021
2	18	Tua Girls One Kupp	Jonathan Taylor	RB	IND	North	2021
2	19	Rusty Hammer	Najee Harris	RB	PIT	North	2021
2	20	Buck Wild Roosters	Keenan Allen	WR	LAC	North	2021
2	21	Playoff Donkeys	Joe Mixon	RB	CIN	North	2021
2	22	Schmidts & Giggles	Chris Carson	RB	SEA	North	2021
2	23	AFCCP	Clyde Edwards-Helaire	RB	KCC	North	2021
2	24	Poner	Darren Waller	TE	LVR	North	2021
3	25	Poner	Justin Jefferson	WR	MIN	North	2021
3	26	AFCCP	Terry McLaurin	WR	WAS	North	2021
3	27	Schmidts & Giggles	Chris Godwin	WR	TBB	North	2021
3	28	Playoff Donkeys	Patrick Mahomes	QB	KCC	North	2021
3	29	Buck Wild Roosters	Josh Allen	QB	BUF	North	2021
3	30	Rusty Hammer	A.J. Brown	WR	TEN	North	2021
3	31	Tua Girls One Kupp	Julio Jones	WR	TEN	North	2021
3	32	Gridiron Guru	Allen Robinson	WR	CHI	North	2021
3	33	Raptors	David Montgomery	RB	CHI	North	2021
3	34	Moose Men	James Robinson	RB	JAC	North	2021
3	35	Rory's Fury	CeeDee Lamb	WR	DAL	North	2021
3	36	Banana's Bunch	Robert Woods	WR	LAR	North	2021
4	37	Banana's Bunch	D'Andre Swift	RB	DET	North	2021
4	38	Rory's Fury	Tyler Lockett	WR	SEA	North	2021
4	39	Moose Men	D.J. Moore	WR	CAR	North	2021
4	40	Raptors	Mike Evans	WR	TBB	North	2021
4	41	Gridiron Guru	Miles Sanders	RB	PHI	North	2021
4	42	Tua Girls One Kupp	Ja'Marr Chase	WR	CIN	North	2021
4	43	Rusty Hammer	Amari Cooper	WR	DAL	North	2021
4	44	Buck Wild Roosters	Josh Jacobs	RB	LVR	North	2021
4	45	Playoff Donkeys	George Kittle	TE	SFO	North	2021
4	46	Schmidts & Giggles	Adam Thielen	WR	MIN	North	2021
4	47	AFCCP	Diontae Johnson	WR	PIT	North	2021
4	48	Poner	Cooper Kupp	WR	LAR	North	2021
5	49	Poner	Kyler Murray	QB	ARI	North	2021
5	50	AFCCP	Lamar Jackson	QB	BAL	North	2021
5	51	Schmidts & Giggles	Kareem Hunt	RB	CLE	North	2021
5	52	Playoff Donkeys	Myles Gaskin	RB	MIA	North	2021
5	53	Buck Wild Roosters	Raheem Mostert	RB	SFO	North	2021
5	54	Rusty Hammer	Mark Andrews	TE	BAL	North	2021
5	55	Tua Girls One Kupp	Kyle Pitts	TE	ATL	North	2021
5	56	Gridiron Guru	Mike Davis	RB	ATL	North	2021
5	57	Raptors	Aaron Rodgers	QB	GBP	North	2021
5	58	Moose Men	Brandon Aiyuk	WR	SFO	North	2021
5	59	Rory's Fury	Laviska Shenault	WR	JAC	North	2021
5	60	Banana's Bunch	Tee Higgins	WR	CIN	North	2021
6	61	Banana's Bunch	Chase Edmonds	RB	ARI	North	2021
6	62	Rory's Fury	Gus Edwards	RB	BAL	North	2021
6	63	Moose Men	Russell Wilson	QB	SEA	North	2021
6	64	Raptors	Damien Harris	RB	NEP	North	2021
6	65	Gridiron Guru	Dak Prescott	QB	DAL	North	2021
6	66	Tua Girls One Kupp	Ryan Tannehill	QB	TEN	North	2021
6	67	Rusty Hammer	Leonard Fournette	RB	TBB	North	2021
6	68	Buck Wild Roosters	Logan Thomas	TE	WAS	North	2021
6	69	Playoff Donkeys	JuJu Smith-Schuster	WR	PIT	North	2021
